Name,Surname,Nome file,Wikidata ID
Enrico,Peli,Enrico Peli (Legavolley 2014),Q55266278
Gianluca,Pellegrinelli,Gianluca Pellegrinelli (Legavolley 2017),Q55266286
Davide,Pellegrino,Davide Pellegrino (Legavolley 2016),Q19985036
Gianluca,Pellegrino,Gianluca Pellegrino (Legavolley 2012),Q55266282
Gabriele,Peluffo,Gabriele Peluffo (Legavolley 2015),Q55266279
Chono,Penchev,Chono Penchev (Legavolley 2017),Q22279632
Nikolay Zarkov,Penchev,Nikolay Zarkov Penchev (Legavolley 2011),Q1688332
Rozalin,Penchev,Rozalin Penchev (Legavolley 2016),Q22279633
Angel Javier,Perez Rivera,Angel Javier Perez Rivera (Legavolley 2017),Q2849353
Ricardo,Perini De Aviz,Ricardo Perini De Aviz (Legavolley 2015),Q55266294
Enrico,Perla,Enrico Perla (Legavolley 2016),Q55266292
John Gordon,Perrin,John Gordon Perrin (Legavolley 2015),Q21097218
Vlado,Petkovic,Vlado Petkovic (Legavolley 2011),Q2121497
Nemanja,Petric,Nemanja Petric (Legavolley 2016),Q4360588
Emanuele,Petrosillo,Emanuele Petrosillo (Legavolley 2013),Q55266296
Umberto,Picariello,Umberto Picariello (Legavolley 2012),Q55266300
Gianluca,Piccinini,Gianluca Piccinini (Legavolley 2012),Q55266298
Francesco,Pieri,Francesco Pieri (Legavolley 2013),Q3081052
Simone,Pieri,Simone Pieri (Legavolley 2016),Q55266301
Roberto,Pinali,Roberto Pinali (Legavolley 2016),Q55266304
Kervin,Pinerua,Kervin Pinerua (Legavolley 2012),Q6394807
Filipe Fontes,Pinto,Filipe Fontes Pinto (Legavolley 2013),Q55266302
Edoardo,Pizzileo,Edoardo Pizzileo (Legavolley 2013),Q55266306
Miha,Plot,Miha Plot (Legavolley 2013),Q16578419
Oleh,Plotnytskyi,Oleh Plotnytskyi (Legavolley 2017),Q55266308
Antti,Poikela,Antti Poikela (Legavolley 2011),Q11852209
Giovanni,Polidori,Giovanni Polidori (Legavolley 2012),Q544188
Matthew,Pollock,Matthew Pollock (Legavolley 2017),Q19708831
Pierpaolo,Polselli,Pierpaolo Polselli (Legavolley 2012),Q55266338
Thiago,Pontes Veloso,Thiago Pontes Veloso (Legavolley 2016),Q25175984
Marcus,Popp,Marcus Popp (Legavolley 2011),Q69982
Daniele,Postiglioni,Daniele Postiglioni (Legavolley 2012),Q55266365
Michele,Pranovi,Michele Pranovi (Legavolley 2016),Q55266366
Randy,Preval,Randy Preval (Legavolley 2013),Q55266370
Giovanni,Primavera,Giovanni Primavera (Legavolley 2016),Q55266373
William,Procopio,William Procopio (Legavolley 2014),Q55266378
Athanasios,Psarras,Athanasios Psarras (Legavolley 2012),Q55266380
Leonardo,Puliti,Leonardo Puliti (Legavolley 2015),Q55266386
Pedro Luiz,Putini,Pedro Luiz Putini (Legavolley 2016),Q55266389
Guillaume,Quesque,Guillaume Quesque (Legavolley 2014),Q3120147
Danger Jorber,Quintana Guerra,Danger Jorber Quintana Guerra (Legavolley 2016),Q55266395
Gonzalo,Quiroga,Gonzalo Quiroga (Legavolley 2015),Q17308247
Rodrigo Daniel,Quiroga,Rodrigo Daniel Quiroga (Legavolley 2011),Q553793
Balsa,Radunovic,Balsa Radunovic (Legavolley 2012),Q16268686
Michal,Rak,Michal Rak (Legavolley 2012),Q947265
Alex,Ranghieri,Alex Ranghieri (Legavolley 2012),Q17352964
Antonio,Ratano,Antonio Ratano (Legavolley 2015),Q55266405
Giancarlo,Rau,Giancarlo Rau (Legavolley 2017),Q55266407
Jeroen,Rauwerdink,Jeroen Rauwerdink (Legavolley 2014),Q3807990
Rudi,Rea,Rudi Rea (Legavolley 2013),Q55266408
Riccardo,Reggio,Riccardo Reggio (Legavolley 2012),Q55266410
Federico,Reina,Federico Reina (Legavolley 2017),Q55266411
Filip,Rejlek,Filip Rejlek (Legavolley 2016),Q3071839
Valerio,Riccardi,Valerio Riccardi (Legavolley 2017),Q55266420
Luigi,Ricci,Luigi Ricci (Legavolley 2012),Q55266418
Antonio,Ricciardello,Antonio Ricciardello (Legavolley 2012),Q3620092
Giacomo,Rigoni,Giacomo Rigoni (Legavolley 2013),Q9267801
Danilo,Rinaldi,Danilo Rinaldi (Legavolley 2016),Q3702199
Simone,Riolo,Simone Riolo (Legavolley 2013),Q55266426
Carlo,Rispoli,Carlo Rispoli (Legavolley 2012),Q55266429
Andrej,Ristic,Andrej Ristic (Legavolley 2017),Q55266427
Matteo,Ritacco,Matteo Ritacco (Legavolley 2014),Q55266431
Roberto,Rivan,Roberto Rivan (Legavolley 2015),Q55266434
